Category,Name,Street,City,State,Zip,Phone,Twitter
Shopping,571projects,551 West 21st St,New York,NY,10011,(212) 229-0897,571Projects
Shopping,68 St Florist,403 E 68th St,New York,NY,10065,(212) 737-9700,n/a
Shopping,6824 Grocers Inc,6824 4th Ave,Brooklyn,NY,11220,(718) 238-6031,n/a
Shopping,7 Ave Chemist,5912 7th Ave,Brooklyn,NY,11220,(718) 439-0998,n/a
Shopping,7 Ave Computers & Gifts,369 7th Ave,New York,NY,10001,(212) 868-3799,n/a
Shopping,7 Color Trading,663 Grand St,Brooklyn,NY,11211,(718) 218-7509,n/a
Shopping,701 Barber Shop,701 W 180th St,New York,NY,10033,(212) 781-5293,n/a
Shopping,72nd Street Barber Shop,49 W 72 St,Manhattan,NY,10023,(646) 398-7900,n/a
Shopping,7418 99C Corp,7418 5th Ave,Brooklyn,NY,11209,(718) 491-9090,n/a
Shopping,786 Grocery Mall,6226 New Utrecht Ave,Brooklyn,NY,11219,(718) 236-1141,n/a
Shopping,7th Ave Jewels & Time Pieces,301 7th Avenue,Brooklyn,NY,11215,(718) 788-3131,n/a
Shopping,7th Avenue Framing,374 7th Ave,Brooklyn,NY,11215,(718) 832-0655,n/a
Shopping,7th Heaven Hair Salon,51 7th Ave S,New York,NY,10014,(212) 243-4747,n/a
Shopping,800 Flowers,15914 Crossbay Blvd,New York,NY,11414,(718) 843-1266, 1800flowers
Shopping,8002 99 Cents Corp,8002 5th Ave,Brooklyn,NY,11209,(718) 491-3999,n/a
Shopping,8th Avenue Optical,5624 8th Avenue,Brooklyn,NY,11220,(718) 567-8028,n/a
Shopping,90th Street Pharmacy,1260 Madison Ave,New York,NY,10128,(212) 289-9168,n/a
Shopping,92nd St Eye,169 E 92nd St,New York,NY,10128,(212) 289-2020,n/a
Shopping,99 Cent & Up,2109 Avenue U,Brooklyn,NY,11229,,n/a
Shopping,99 Cent and Up Store,45-10 Parsons Blvd,New York,NY,11355,,n/a
Shopping,99 Cent Plus & Gifts,570 5th Ave,Brooklyn,NY,11215,,n/a
Shopping,99 Cent World,1611 Westchester Avenue,Bronx,NY,10472,(718) 542-7555,n/a
Shopping,99 Cents or Less,41-09 Kissena Blvd,Flushing,NY,11354,,n/a
Shopping,99 X,84 E 10th St Fl 1,New York,NY,10003,(212) 460-8612,n/a
Shopping,99cents & Up Gift Shop,6606 18th Ave,Brooklyn,NY,11204,(347) 713-8076,n/a
Shopping,A & A Discount,838 Lexington Ave,New York,NY,10065,(212) 888-1064,n/a
Shopping,A & B Books,146 Lawrence Street,Brooklyn,NY,11201,(718) 596-0872,n/a
Shopping,A & B Window Treatment,932 Ditmas Avenue,Brooklyn,NY,11218,(212) 242-7755,n/a
Shopping,A & G Optical,2724 Queens Plz S,Long Island City,NY,11101,(718) 482-7462,n/a
Shopping,A & G Wholesale Candy & Paper Bags,186 McClellan St,Bronx,NY,10456,(718) 681-8918,n/a
Shopping,A & J Fabric,225D W 37th St,New York,NY,10018,(212) 631-0733,n/a
Shopping,A & M Fabric,214 W 39th St Ph,New York,NY,10018,(212) 354-4525,n/a
Shopping,A & R Wireless,254 E Burnside Ave,Bronx,NY,10457,(718) 294-4121,n/a
Shopping,A & T Tobacco Sales Inc,443 Graham Ave,Brooklyn,NY,11211,(718) 389-7433,n/a
Shopping,A A Buyers,46 W 47th Street,New York,NY,10036,(212) 764-3370,n/a
Shopping,A A G Music Inc,200 Varick St,New York,NY,10014,(212) 924-3300,n/a
Shopping,A Advanced Satellite Television,2937 41st Ave,Long Island City,NY,11101,(718) 392-4374,n/a
Shopping,A Advanced Satellite Television,6783 Groton St,Forest Hills,NY,11375,(718) 263-2728,n/a
Shopping,A Asap Voice Mail,50 W 17th St,New York,NY,10011,(212) 989-6100,n/a
Shopping,A B C D's,3508 E Tremont Avenue,Bronx,NY,10465,(718) 409-4634,n/a
Shopping,A B R Business Machines Corporation,11 Broadway,New York,NY,10004,(212) 425-6443,n/a
Shopping,A D Gallery,560 Broadway Rm 603,New York,NY,10012,(212) 966-5154,n/a
Shopping,A Frame,219 W 16th St,New York,NY,10011,(212) 924-5221,n/a
Shopping,A I D Video,2296 Crotona Avenue,Bronx,NY,10458,(718) 933-1176,n/a
Shopping,A J Equipment Corporation,1170 Broadway,New York,NY,10001,(212) 679-6150,n/a
Shopping,A K F Trading Ltd,472 Avenue of the Americ,New York,NY,10011,(212) 647-0410,n/a
Shopping,A K Fabric,257 W 39th St,New York,NY,10018,(212) 944-5693,n/a
Shopping,A Professional Business Machines Inc,444 Park Ave S Rm 604,New York,NY,10016,(212) 661-1490,n/a
Shopping,A R,38 W 21st St,New York,NY,10010,(212) 627-5849,n/a
Shopping,A Roberts 1 Hr Frame Studio,1612 Kings Hwy,Brooklyn,NY,11229,(718) 645-0990,n/a
Shopping,A T & T Wireless,10724 71st Ave,Forest Hills,NY,11375,(718) 544-2310,ATT
Shopping,A T & T Wireless,381 Madison Avenue,New York,NY,10017,(212) 687-8910,ATT
Shopping,A Westside Bicycle Store,231 W 96th St,New York,NY,10025,(212) 663-7531,n/a
Shopping,A Z Computer Help,2570 W 2,New York,NY,10001,(347) 713-1307,n/a
Shopping,A&G Medical Supply,1040 Morris Park Ave,Bronx,NY,10461,(718) 823-4700,n/a
Shopping,A-1 Direct Dish,704 Allerton Ave,Bronx,NY,10467,(718) 235-9500,n/a
Shopping,A-1 Music Company,186 1st Avenue,New York,NY,10009,(212) 677-0872,n/a
Shopping,A3 Wireless Inc,3300 Broadway,New York,NY,10031,(212) 368-3661,n/a
Shopping,AA Shiva Wholesale,12306 Jamaica Ave,Richmond Hill,NY,11418,(718) 850-1329,n/a
Shopping,Aaa Alonso Art & Architect,761 Allerton Ave,Bronx,NY,10467,(718) 881-1600,n/a
Shopping,AAA Economy Foam and Futons,175 1st Ave,New York,NY,10003,(212) 473-4462,n/a
Shopping,ABC Bargain Store,1180 Liberty Ave,Brooklyn,NY,11208,(718) 647-1361,n/a
Shopping,ABC Beauty & Nails,814 51st St,Brooklyn,NY,11220,(718) 633-8188,n/a
Shopping,ABC Pharmacy,371 McDonald Ave,Brooklyn,NY,11218,(718) 438-4586,n/a
Shopping,ABC Super Stores,300 Wyckoff Ave,Brooklyn,NY,11237,(718) 497-5450,n/a
Shopping,Abco Supl Co,387 Canal St,New York,NY,10013,(212) 431-9560,n/a
Shopping,Abdul Pharmacy,596 Clarkson Ave,Brooklyn,NY,11203,(718) 484-7212,n/a
Shopping,Abe's Antiques Inc,815 Broadway,New York,NY,10003,(212) 260-6424,n/a
Shopping,Abe's Radio Inc,458 E 99th St,Brooklyn,NY,11236,(718) 257-4900,n/a
Shopping,Absolutely Yours,541 Myrtle Ave,New York,NY,11205,(718) 398-2012,n/a
Shopping,Aca Galleries,529 W 20th Street,New York,NY,10011,(212) 206-8080,ACAgalleries
Shopping,Accessory Exchange,1 E 33rd St,New York,NY,10016,(212) 689-3508,n/a
Shopping,Ace Hardware of Tribeca,160 W Broadway,New York,NY,10013,(212) 571-3788,AceHardware
Shopping,Adam Williams Fine Art Ltd,50 E 78th Street,New York,NY,10021,(212) 249-4987,n/a
Shopping,Adams George Gallery,41 W 57th St Fl 7,New York,NY,10019,(212) 644-5665,n/a
Shopping,Adolfo Hair Cutter Ltd,10339 Queens Blvd,Forest Hills,NY,11375,(718) 275-7182,n/a
Shopping,Advance Creations,31 W 47th St Ste 203,New York,NY,10036,(212) 764-5418,n/a
Shopping,Advance Packaging Inc,1365 38th St,Brooklyn,NY,11218,(718) 633-2400,advpackaging
Shopping,Ae Beauty Supply,5021 Church Ave,Brooklyn,NY,11203,(718) 346-6400,n/a
Shopping,AF Jewlery Collection Inc,1212 Broadway,New York,NY,10001,(212) 696-2471,n/a
Shopping,Affordable Computers,1267 Ovington Ave,Brooklyn,NY,11219,(800) 299-7239,n/a
Shopping,Affordable Piano,3091 Brighton 3rd St,Brooklyn,NY,11235,(718) 615-9475,n/a
Shopping,Affordable Used Office Furniture,480 Canal St,New York,NY,10013,(212) 343-1986,n/a
Shopping,Agent Provocateur,1000 3rd Ave,New York,NY,10022,(212) 705-2000,TheMissAP
Shopping,Agilent Technologies,399 Park Ave,New York,NY,10022,(877) 424-4536,n/a
Shopping,AHAVA Beauty Products,3 W Broadway,New York,NY,10006,,n/a
Shopping,Aid Pharmacy NY,97 Walker St,New York,NY,10013,(212) 965-9688,n/a
Shopping,Aims Beauty World,7620 17th Avenue,Brooklyn,NY,11214,(718) 331-4828,n/a
Shopping,Aj Systems,1441 53rd Street Apt 2C,Brooklyn,NY,11219,(718) 853-5726,n/a
Shopping,Ajo Home & Lumber Depot,610 Columbus Ave,New York,NY,10024,(212) 580-8080,n/a
Shopping,Al Liebers World of Golf,147 E 47 Lex Avenue,New York,NY,10017,(212) 755-9398,n/a
Shopping,Al Medina Pharmacy,1221 Flatbush Avenue,Brooklyn,NY,11226,(718) 941-2669,n/a
Shopping,Alam Fakhrul,399 E 149th Street,Bronx,NY,10455,(718) 401-1836,n/a
Shopping,Alan's Alley Video,207A 9th Ave,New York,NY,10011,(212) 645-0999,n/a
Shopping,Alcone NYC,235 W 19th St,New York,NY,10011,(212) 633-0551,AlconeCompany
Shopping,ALDO,470 Broadway,New York,NY,10013,(212) 925-3102,ALDO_Shoes
Shopping,Altios International,145 W 28th St,New York,NY,10001,(917) 472-1993,n/a
Shopping,Alvin Valley Clothier Incorporated,222 W 37th St,New York,NY,10018,(212) 563-4430,n/a
Shopping,Always Beauty Supplies,70 Graham Ave,Brooklyn,NY,11206,(718) 218-6723,n/a
Shopping,Alyssia Hair & Skin Salon,1230 Madison Ave,New York,NY,10128,(212) 722-2147,n/a
Shopping,Amalfi Fabrics Inc,12 W 57th St Ste 804,New York,NY,10019,(212) 397-1334,n/a
Shopping,Amazing Store & Smoke Shop,208 Columbus Ave,New York,NY,10023,(212) 501-0400,n/a
Shopping,American Beauty Supply,6915 New Utrecht Avenue,Brooklyn,NY,11228,(718) 232-8980,n/a
Shopping,American Department Store,2480 Grand Concourse,Bronx,NY,10458,(718) 220-2950,n/a
Shopping,American Eagle Outfitters,5100 Kings Plaza,Brooklyn,NY,11234,(718) 377-0342,american_eagle
Shopping,American Greeting Card Inc,425 Lexington Ave,New York,NY,10017,(212) 682-2111,amgreetings
Shopping,American Jewel Arts,64 W 48th St,New York,NY,10036,(888) 203-9400,n/a
Shopping,American Jewelry Mfg Inc,15 W 37th St,New York,NY,10018,(212) 704-4363,n/a
Shopping,American Mini Computer,18 India Street,Brooklyn,NY,11222,(718) 383-1305,n/a
Shopping,American Optical,230 Park Ave,New York,NY,10169,(212) 551-3682,n/a
Shopping,American Outlet 118 Inc,2151 3rd Ave,New York,NY,10035,(212) 876-1698,n/a
Shopping,American Perfit Crystal Corporation,520 8th Avenue,New York,NY,10018,(212) 246-8292,n/a
Shopping,American Place,6717 4th Ave,Brooklyn,NY,11220,(718) 680-2414,n/a
Shopping,Ameritel,1505 Westchester Ave,Bronx,NY,10472,(347) 963-4881,n/a
Shopping,Ameritel Telecom,12 E 170th St,Bronx,NY,10452,(718) 410-4949,n/a
Shopping,Amicus Systems,11325 Queens Blvd,Forest Hills,NY,11375,(718) 261-6396,AmicusSystems
Shopping,Amitronix,246 5th Avenue,New York,NY,10001,(212) 679-6001,n/a
Shopping,Amj Technologies Solutions,11 Broadway,New York,NY,10004,(212) 509-1414,n/a
Shopping,Amos Eno Gallery,530 W 25th Street,New York,NY,10001,(212) 226-5342,n/a
Shopping,Amp & Guitar Wellness Center by Jeff Bloch,1700 10th Ave,Brooklyn,NY,11215,(718) 369-7080,n/a
Shopping,Amphion Music,60 W 87th St,New York,NY,10024,(212) 873-9715,n/a
Shopping,Amsterdam Barber Shop,287 Amsterdam Avenue,New York,NY,10023,(212) 874-8727,n/a
Shopping,Andrea's Interior,288 W Fordham Rd,Bronx,NY,10468,(718) 733-8418,n/a
Shopping,Andrei Petrov,50 Eldridge,New York,NY,10002,,n/a
Shopping,Andrew Edlin Gallery,529 W 20th St,New York,NY,10011,(212) 206-9723,edlingallery
Shopping,Andrew Kreps Gallery,525 W 22nd St Frnt 2,New York,NY,10011,(212) 741-8849,n/a
Shopping,Andy Ryan Photography Inc,31 W 27th St Ste 10A,New York,NY,10001,(212) 685-1272,n/a
Shopping,Andy Warhol Authentication Board,525 W 20th Street,New York,NY,10011,(212) 727-1735,n/a
Shopping,Andy's 99c & Up,2719 Avenue U,Brooklyn,NY,11229,,n/a
Shopping,Angel Eyes Optical,244 W 99th Street,New York,NY,10025,(212) 749-0700,n/a
Shopping,Angel Photo Center,1787 Westchester Ave,Bronx,NY,10472,(718) 684-2010,n/a
Shopping,Angela's Vintage Boutique,26 2nd Ave,New York,NY,10003,(212) 475-1571,n/a
Shopping,Angelical Flowers,2958 Fulton St,Brooklyn,NY,11207,(718) 647-9542,n/a
Shopping,Angelilli Nick,75 Crosby St,New York,NY,10012,(212) 226-1433,n/a
Shopping,Angie Gold Exchange,60 E 183rd Street,Bronx,NY,10453,(718) 562-2087,n/a
Shopping,Anil Mukhatiyar,168 E 68th St,New York,NY,10021,(212) 717-6805,n/a
Shopping,Ann Taylor,2015 Broadway,New York,NY,10023,(212) 724-4917,AnnTaylor
Shopping,Anna House,1469 Saint Nicholas Avenue,New York,NY,10033,(212) 928-3007,n/a
Shopping,Ann-Morris Antiques,239 E 60th Street,New York,NY,10022,(212) 755-3309,n/a
Shopping,Ann's Custom Gowns-Restorations & Alterations,281 Mott St Frnt,New York,NY,10012,(212) 625-8622,n/a
Shopping,Ann's Hallmark,170 Broadway,New York,NY,10038,(212) 267-6680,n/a
Shopping,Ansonia Pharmacy,446 Ave of the Americas,New York,NY,10011,(212) 677-6710,n/a
Shopping,Anthony Florist,4034 Broadway,New York,NY,10032,(212) 923-5900,n/a
Shopping,Anthony Hair Styling,2143 Williamsbridge Rd,Bronx,NY,10461,(718) 829-5765,n/a
Shopping,Anthony's Hair Stylists,215 E 26th Street,New York,NY,10010,(212) 260-0570,n/a
Shopping,Antidote Bike Shop,337 Marcus Garvey Blvd,Brooklyn,NY,11221,(347) 240-1580,n/a
Shopping,Antique & Art Center,989 Avenue of the Americ,New York,NY,10018,(212) 279-8633,n/a
Shopping,Antique Firearms,205 W Houston Street,New York,NY,10014,(212) 620-7010,n/a
Shopping,Antique Gallery,3563A 78th Street,Flushing,NY,11372,(718) 478-1824,n/a
Shopping,Antique Restoration Studio,20 W 22nd Street,New York,NY,10010,(212) 255-7069,n/a
Shopping,Antique Rivet,1385 Broadway,Manhattan,NY,11211,(212) 944-7373,AntiqueRivet_HQ
Shopping,Antiqueria,62 18th Street,Brooklyn,NY,11232,(718) 369-2306,n/a
Shopping,Antiques & Coffee,724 Manhattan Ave,Brooklyn,NY,11222,(718) 389-1162,n/a
Shopping,Antiques Belfor,40 E 9th St,New York,NY,10003,(212) 674-6008,n/a
Shopping,Antonella Barber Shop,8 Beekman St,New York,NY,10038,(212) 233-1830,n/a
Shopping,Antonio Barber Shop,3158 Fulton Street,Brooklyn,NY,11208,(718) 647-8535,n/a
Shopping,Antonio Barber Shop,455 Amsterdam Ave,New York,NY,10024,(212) 595-3837,n/a
Shopping,Anytime Anywhere Emergency Rockaway Ave Locksm,38 Rockaway Ave,Brooklyn,NY,11233,(347) 466-7118,n/a
Shopping,Apa Ny,27 W 20th Street,New York,NY,10011,(212) 807-0399,n/a
Shopping,Apex Gems Inc,576 5th Ave Ste 1000,New York,NY,10036,(212) 302-4813,n/a
Shopping,Apocalipsis Barber,1269 Grand Concourse,Bronx,NY,10452,(646) 402-8486,n/a
Shopping,Apollo Beauty Supply,158 W 125th St,New York,NY,10027,(212) 316-1288,n/a
Shopping,Apple Art Supplies,321 Dekalb Ave,Brooklyn,NY,11205,(718) 399-2800,n/a
Shopping,Aqua Nova,220 E 53rd Street Apt 2A,New York,NY,10022,(212) 759-2694,n/a
Shopping,Arader Galleries,1016 Madison Ave,New York,NY,10075,(212) 628-7625,AraderGalleries
Shopping,Arario Gallery Inc,521 W 25th St,New York,NY,10001,(212) 206-2760,n/a
Shopping,Aratech USA Ltd,450 Broadway,New York,NY,10013,(212) 966-4276,n/a
Shopping,Army & Navy Bags,177 E Houston St,New York,NY,10002,(212) 228-5267,n/a
Shopping,Arnolds Bicycles & Trains,4220 8th Avenue,Brooklyn,NY,11232,(718) 435-8558,n/a
Shopping,Aron Halperin,36 W 47th St,New York,NY,10036,(212) 840-7850,n/a
Shopping,Aron The Barber,83rd Between 2nd and 3rd,New York,NY,10045,(917) 710-7040,n/a
Shopping,Art & Commerce,755 Washington Street,New York,NY,10014,(212) 989-6462,n/a
Shopping,Art 101,101 Grand Street,Brooklyn,NY,11211,(718) 302-2242,n/a
Shopping,Art Import Inc,10 Rockefeller Plz Ste 1100,New York,NY,10020,(212) 840-3995,n/a
Shopping,Art In Flowers,253 E 62nd St Apt 5A,New York,NY,10021,(212) 355-4557,n/a
Shopping,Art Industries,601 W 26th Street,New York,NY,10001,(212) 633-9200,n/a
Shopping,Art Loss Register,20 E 46th Street Rm 1402,New York,NY,10017,(212) 972-3875,artlossreg
Shopping,Art Of Healing Medicine,4924 Avenue K,Brooklyn,NY,11234,(347) 713-4030,n/a
Shopping,Art of the Past Inc,1242 Madison Ave,New York,NY,10128,(212) 860-7070,n/a
Shopping,Art of This Century,530 W 25th St,New York,NY,10001,(212) 352-8131,n/a
Shopping,Art Photography,1394 Edward L Grant Hwy,Bronx,NY,10452,(800) 221-9683,n/a
Shopping,Art Smart,PO Box 28,Manhattan,NY,10113,(212) 595-4444,getartsmart
Shopping,Artcore Fine Art Services,3100 47th Ave,Long Island City,NY,11101,(718) 937-4700,n/a
Shopping,Artediam,71 W 47th St,New York,NY,10036,(212) 944-2001,n/a
Shopping,Artek Comtemporaries,508 W 26th St,New York,NY,10001,(212) 463-8500,n/a
Shopping,Arthur Avenue Floral,615 E 187th St,Bronx,NY,10458,(718) 329-3290,n/a
Shopping,Arthur's Hairstyling,240 W 72nd St Frnt,New York,NY,10023,(212) 579-0919,n/a
Shopping,Artisan Art,111 Prospect Pl,Brooklyn,NY,11217,(718) 636-5835,n/a
Shopping,Artists & Craftsmen Supply,223 N 8th St,Brooklyn,NY,11211,(718) 782-7765,ArtistCraftsman
Shopping,Artoptic Internatl Corp,130 W 25th St,New York,NY,10001,(212) 627-3232,n/a
Shopping,Arts Horizons Inc,200 W 15th St,New York,NY,10011,(212) 947-9418,n/a
Shopping,ArtWorld,103-07 Metropolitan Ave,Forest Hills,NY,11375,(718) 793-7200,n/a
Shopping,Arty's Shoe Service,243 8th Ave,New York,NY,10011,(212) 255-1451,n/a
Shopping,As Seen On TV,5100 Kings Plz Ste 18,Brooklyn,NY,11234,(718) 258-6688,n/a
Shopping,Asad News,100 Henry Street,Brooklyn,NY,11201,(718) 488-9119,n/a
Shopping,Ash Fine Art,51 E 78th Street Apt 1A,New York,NY,10021,(212) 734-0100,n/a
Shopping,Ashish Wireless,2220 Pitkin Ave,Brooklyn,NY,11207,(347) 787-0786,n/a
Shopping,Asian Elephant Art And Conservation Project Inc,453 Broome St,New York,NY,10013,(212) 625-0939,n/a
Shopping,Asics Store,51 W 42nd St,Manhattan,NY,10036,(212) 354-1908,ASICSamerica
Shopping,ASP Fine Art Services,40-35 22nd St,Long Island City,NY,11101,(718) 371-5700,n/a
Shopping,At&t Authorized Retailer,131 Christopher St,Manhattan,NY,10014,(212) 229-2000,ATTCustomerCare
Shopping,AT&T Device Support Center,33 Park Pl,New York,NY,10007,,ATTCustomerCare
Shopping,AT&T Wireless,1443 Metropolitan Ave,Bronx,NY,10462,(718) 597-3859,ATTCustomerCare
Shopping,AT&T Wireless,464 86th St,Brooklyn,NY,11209,(718) 705-1984,ATTCustomerCare
Shopping,Atha Stuart K Jr,277 Park Ave,New York,NY,10172,(212) 922-4420,n/a
Shopping,Atlantic Digitech,266 Wyckoff Ave,Brooklyn,NY,11237,(718) 366-1022,n/a
Shopping,Atlantic Optical,139 Flatbush Ave,Brooklyn,NY,11217,(718) 522-3737,n/a
Shopping,Atlantic Pawnbrokers Inc,3028 Atlantic Ave,Brooklyn,NY,11208,(718) 348-4100,n/a
Shopping,Atlantis Sportswear,395 Jay Street,Brooklyn,NY,11201,(718) 246-8442,n/a
Shopping,Attachmate Corp,1 Penn Plz,New York,NY,10119,(212) 629-3460,Attachmate
Shopping,B Y Simulated Furs Ltd,1350 Broadway,New York,NY,10018,(212) 273-0795,n/a
Shopping,B.E. Yarn,784 Manhattan Ave,Brooklyn,NY,11222,(718) 383-8907,n/a
Shopping,Babaev Ella,576 5th Ave,New York,NY,10036,(212) 302-7168,excutdiamonds
Shopping,Baby's Dream,2027 Emmons Ave,Brooklyn,NY,11235,(718) 646-7992,n/a
Shopping,Bader Mitch Studio,141 W 28th Street,New York,NY,10001,(212) 947-7638,n/a
Shopping,Baez Wireless,73 E 183rd St,Bronx,NY,10453,(718) 328-2802,n/a
Shopping,Bag,237 W 35th Street,New York,NY,10001,(212) 290-0418,n/a
Shopping,Bag A More,48 W 38th St Fl 4,New York,NY,10018,(212) 244-0099,n/a
Shopping,Balance Skateshop,275 79th Street,Brooklyn,NY,11209,(718) 492-5558,n/a
Shopping,Balinesia New York Inc,252 W 38th St Rm 1205,New York,NY,10018,(212) 842-4630,n/a
Shopping,Banana Lemon,50 W 36th Street,New York,NY,10018,(212) 239-0494,n/a
Shopping,Barbara Gee Danskin Center,2282  Broadway,New York,NY,10025,(212) 769-1564,n/a
Shopping,Barber Group,26 W 17th Street Lbby,New York,NY,10011,(212) 647-8877,n/a
Shopping,Barber Group Inc,1150 Park Ave,New York,NY,10128,(212) 289-6720,n/a
Shopping,Barber Nadeem,102 Cortelyou Rd,Brooklyn,NY,11218,(718) 483-8312,n/a
Shopping,Barber Shop,160 Newport St,Brooklyn,NY,11212,(347) 663-5679,n/a
Shopping,Barber Shop,2873 W 17th St,Brooklyn,NY,11224,(718) 483-8384,n/a
Shopping,Barber Shop,604 Vanderbilt Ave,Brooklyn,NY,11238,,n/a
Shopping,Barber Shop - Shaves - BlackEye Repair,151 Allen St,Manhattan,NY,10002,(908) 419-4452,n/a
Shopping,Barbers On 1st,1071 1st Ave,New York,NY,10022,(212) 510-8563,n/a
Shopping,Barbershop Mercedes International,205 W 104th St,New York,NY,10025,(212) 280-3123,n/a
Shopping,Barbour,1047 Madison Ave,New York,NY,10021,(212) 570-2600,BarbourOfficial
Shopping,Barclay Rex,570 Lexington Avenue,New York,NY,10022,(212) 888-1015,n/a
Shopping,Bare Escentuals,1585 Broadway,Manhattan,NY,10036,,BareEscentuals
Shopping,Basic Fun Toys Inc,200 5th Ave Frnt,New York,NY,10010,(212) 367-7485,n/a
Shopping,Basic Sportswear,145 W 28th St Fl 2,New York,NY,10001,(212) 594-5969,n/a
Shopping,Basil Computers,1469 Fulton St,Brooklyn,NY,11216,(718) 484-8621,n/a
Shopping,Bath & Body Works,1240 3rd Ave,New York,NY,10021,(212) 772-2589,LUVBBW
Shopping,Bath & Body Works,441 Lexington Ave,New York,NY,10017,(212) 687-1231,LUVBBW
Shopping,Bath & Body Works,South Street,New York,NY,10038,(212) 349-1561,LUVBBW
Shopping,Baumgold Adam Fine Art Inc,40 E 75th St,New York,NY,10021,(212) 861-7340,n/a
Shopping,Bay Opticians,1607 Sheepshead Bay Rd,Brooklyn,NY,11235,(718) 891-0833,n/a
Shopping,Bayridge One Stop Photo,40 186,Brooklyn,NY,11201,(718) 921-3349,n/a
Shopping,Bd Tech Inc,3145 Brighton 4th St Apt 106,Brooklyn,NY,11235,(718) 646-4815,n/a
Shopping,Beato Barber,1748 Lafayette Ave,Bronx,NY,10473,(347) 269-7021,n/a
Shopping,Beato Barber Shop,2714 White Plains Rd,Bronx,NY,10467,(718) 515-3019,n/a
Shopping,Beauty Station Beauty Supplies Inc,528 W 145th St,New York,NY,10031,(212) 281-0405,n/a
Shopping,Beauty Supply & Health Food Corp,3787 Broadway,New York,NY,10032,(212) 234-0562,n/a
